Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvsourcebus, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0493, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284372, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284383, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312486, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0379, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312424, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0381, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312492, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0289, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312536, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0291, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300533, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312395, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300557, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0473, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300550, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0472, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300576, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300591, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312512, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300612, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0284, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300587, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0282, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300566, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0281, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300555, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0281, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300570, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0435, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300593, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0438, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300609, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.044, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300614, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0441, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300468, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0369, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300452, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.037, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312429, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0443, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312419, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0443, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312351, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0443, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300674, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0428, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300664, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0428, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300676, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0428, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300654, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0461, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300656, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0461, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300717, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0496, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300714, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0496, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300719, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0496, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300742, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300740, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300736, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300750, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300762, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300764, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0497, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300678, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0448, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300646, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0444, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300728, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0449, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312566, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0451, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312588, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0453, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312602, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0456, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312606, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0456, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312610, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0457, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312595, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0377, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312599, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0377, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312615, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0378, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312625, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0378, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300653, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0286, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312551, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0454, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312510, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312584, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0459, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312568, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0459, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312509, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0303, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312558, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.03, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312581, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0298, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300711, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0495, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312366, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0383, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312345, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0431, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300518, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0434, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300519, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0434, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300522, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0472, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300524, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0418, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn300529, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0412, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312436, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0474, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312340, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0385, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312290_lo, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0425, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn312312, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0426, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284344, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.054, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284348, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.054, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292874, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0531, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284317, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0533, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284346, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0543, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284358, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0543, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284336, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284341, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284291, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0502, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284309, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0498, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284273, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0506, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284236, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.051, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284270, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0522, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284246, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.052, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292846, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0526, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292863, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0529, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn283913, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.049, VPRIORPU=0
