
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                          Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                       139.4      1.049   0.005007   0.003593 9.07E-009 6.509E-009
n312615                         7.669      1.006          0          0         0         0
n312625                         7.669      1.006          0          0         0         0
n300653                         7.614     0.9991          0          0         0         0
n312551                         7.751      1.017          0          0         0         0
n312510                         7.774       1.02          0          0         0         0
n312584                         7.668      1.006          0          0         0         0
n312568                         7.668      1.006          0          0         0         0
n312509                         7.656      1.005          0          0         0         0
n312558                         7.647      1.003          0          0         0         0
n312581                         7.642      1.003          0          0         0         0
n300711                         20.47      1.028          0          0         0         0
n312366                         7.754      1.017          0          0         0         0
n312345                         7.767      1.019    0.07192     0.9259   0.04483    0.5771
n300518                         7.764      1.019    0.07232     0.9315   0.04643     0.598
n300519                         7.763      1.019    0.07242      0.933   0.04696     0.605
n300522                         7.786      1.022          0          0         0         0
n300524                         7.801      1.024          0          0         0         0
n300529                         7.801      1.024          0          0         0         0
n312436                         7.771       1.02          0          0         0         0
n312340                         7.754      1.017          0          0         0         0
n312290_lo                       7.76      1.018    0.08762      1.129    0.1187     1.529
n312312                         7.759      1.018    0.08801      1.134    0.1187     1.529
n284344                         20.07      1.008          0          0         0         0
n284348                         20.07      1.008          0          0         0         0
n292874                         20.09      1.009          0          0         0         0
n284317                         20.09      1.009          0          0         0         0
n284346                         20.05      1.007          0          0         0         0
n284358                         20.05      1.007          0          0         0         0
n284336                         20.05      1.006          0          0         0         0
n284341                         20.04      1.006          0          0         0         0
n284291                         20.15      1.012          0          0         0         0
n284309                         20.16      1.012          0          0         0         0
n284273                         20.14      1.011          0          0         0         0
n284236                         20.14      1.011          0          0         0         0
n284270                         20.11       1.01          0          0         0         0
n284246                         20.11       1.01          0          0         0         0
n292846                          20.1      1.009          0          0         0         0
n292863                          20.1      1.009          0          0         0         0
n283913                         7.779      1.021          0          0         0         0
n283938                         7.781      1.021          0          0         0         0
n284085                          7.52     0.9867          0          0         0         0
n284034                         7.518     0.9865          0          0         0         0
n284119                         7.523     0.9871          0          0         0         0
n284126                         7.524     0.9873          0          0         0         0
n284117                         7.526     0.9876          0          0         0         0
n292718                         7.529     0.9879          0          0         0         0
n292730                         7.531     0.9882          0          0         0         0
n292715                         7.542     0.9896          0          0         0         0
n292725                         7.539     0.9892          0          0         0         0
n292699                         7.549     0.9905          0          0         0         0
n292703                         7.553     0.9911          0          0         0         0
n284102                         7.562     0.9923          0          0         0         0
n284078                         7.568      0.993          0          0         0         0
n292669                         7.574     0.9939          0          0         0         0
n284041                         7.584     0.9951          0          0         0         0
n283999                           7.6     0.9973          0          0         0         0
n284185                         20.46      1.027          0          0         0         0
n284183                         20.46      1.027          0          0         0         0
n284174                         20.46      1.027          0          0         0         0
n284177                         20.46      1.027          0          0         0         0
n284130                         20.46      1.027          0          0         0         0
n284147                         20.46      1.027          0          0         0         0
n284155                         20.46      1.027          0          0         0         0
n284164                         20.46      1.027          0          0         0         0
n292554                         20.39      1.024    0.08367     0.4103   0.06007    0.2946
n292545                         20.39      1.024    0.08367     0.4103   0.06007    0.2946
n292635                         20.26      1.017          0          0         0         0
n292643                         20.26      1.017          0          0         0         0
n292637                         20.26      1.017          0          0         0         0
n292642                         20.25      1.017          0          0         0         0
n292651                         20.25      1.017          0          0         0         0
n292658                         20.25      1.017          0          0         0         0
n292652                         20.25      1.016          0          0         0         0
n292645                         20.24      1.016          0          0         0         0
n292647                         20.27      1.018          0          0         0         0
n292665                         20.27      1.018          0          0         0         0
n292661                         20.27      1.018          0          0         0         0
n292560                         20.39      1.024    0.08367     0.4103   0.06007    0.2946
n292674                         20.38      1.023    0.08761     0.4298    0.0658    0.3228
n292666                         20.38      1.023    0.08761     0.4298    0.0658    0.3228
n292676                         20.38      1.023    0.08761     0.4298    0.0658    0.3228
n292678                         20.38      1.023    0.08761     0.4299    0.0658    0.3228
n292679                         20.38      1.023    0.08761     0.4299    0.0658    0.3228
n292683                         20.38      1.023    0.08761     0.4299    0.0658    0.3228
n292684                         20.38      1.023    0.08761     0.4299    0.0658    0.3228
n292670                         20.27      1.018          0          0         0         0
n292747                         20.36      1.022     0.0951     0.4672   0.07363    0.3617
n292744                         20.36      1.022     0.0951     0.4671   0.07352    0.3612
n292743                         20.36      1.022    0.09509     0.4671    0.0734    0.3606
n292740                         20.35      1.022    0.09501     0.4668    0.0723    0.3552
n292777                         20.46      1.027          0          0         0         0
n292774                         20.46      1.027          0          0         0         0
n292779                         20.45      1.027          0          0         0         0
n292790                         20.45      1.027          0          0         0         0
n292802                         20.45      1.027          0          0         0         0
n292805                         20.45      1.026          0          0         0         0
n292815                         20.44      1.026          0          0         0         0
n292819                         20.44      1.026          0          0         0         0
n292825                         20.44      1.026          0          0         0         0
n292837                         20.44      1.026          0          0         0         0
n292855                         20.44      1.026          0          0         0         0
n292867                         20.43      1.026          0          0         0         0
n292877                         20.43      1.026          0          0         0         0
n292882                         20.43      1.026          0          0         0         0
n292872                         20.43      1.026          0          0         0         0
n292866                         20.43      1.026          0          0         0         0
n292852                         20.43      1.025          0          0         0         0
n292841                         20.43      1.025          0          0         0         0
n292832                         20.43      1.025          0          0         0         0
n300997                         20.42      1.025          0          0         0         0
n292778                         20.35      1.022          0          0         0         0
n292772                         20.36      1.022          0          0         0         0
n292786                         20.34      1.021          0          0         0         0
n292788                         20.34      1.021          0          0         0         0
n292801                         20.34      1.021          0          0         0         0
n292798                         20.33      1.021          0          0         0         0
n292811                         20.33      1.021          0          0         0         0
n292809                         20.32       1.02          0          0         0         0
n292813                         20.32       1.02          0          0         0         0
n292821                         20.32       1.02          0          0         0         0
n292827                         20.32       1.02          0          0         0         0
n292831                         20.31       1.02          0          0         0         0
n292843                          20.3      1.019          0          0         0         0
n292851                          20.3      1.019          0          0         0         0
n292870                         20.29      1.019          0          0         0         0
n292849                         20.29      1.019          0          0         0         0
n292858                         20.29      1.019          0          0         0         0
n292875                         20.29      1.018          0          0         0         0
n292860                         20.28      1.018          0          0         0         0
n292834                         20.28      1.018          0          0         0         0
n292838                         20.28      1.018          0          0         0         0
n292824                         20.28      1.018          0          0         0         0
n292818                         20.28      1.018          0          0         0         0
n292808                         20.28      1.018          0          0         0         0
n292797                         20.28      1.018          0          0         0         0
n292794                         20.28      1.018          0          0         0         0
n292717                         20.22      1.015          0          0         0         0
n292721                         20.22      1.015          0          0         0         0
n292709                         20.22      1.015          0          0         0         0
n292702                         20.22      1.015          0          0         0         0
n300801                         20.22      1.015          0          0         0         0
n300817                         20.22      1.015          0          0         0         0
n300827                         20.22      1.015          0          0         0         0
n300850                         20.22      1.015          0          0         0         0
n283862                         7.817      1.026          0          0         0         0
n283866                         7.817      1.026          0          0         0         0
n283874                         7.818      1.026          0          0         0         0
n292568                         7.822      1.026          0          0         0         0
n274273                         20.37      1.023          0          0         0         0
n274248                         20.37      1.023          0          0         0         0
n274258                         20.37      1.023          0          0         0         0
n274269                         20.37      1.023          0          0         0         0
n274281                         20.37      1.023          0          0         0         0
n274291                         20.37      1.023          0          0         0         0
n274305                         20.37      1.023          0          0         0         0
n274321                         20.37      1.023          0          0         0         0
n274333                         20.37      1.023          0          0         0         0
n284042                         20.38      1.023          0          0         0         0
n284038                         20.38      1.023          0          0         0         0
n284090                         7.747      1.017          0          0         0         0
n274352                         7.747      1.016          0          0         0         0
n274384                         7.748      1.017          0          0         0         0
n284104                          7.75      1.017          0          0         0         0
n284081                         7.751      1.017          0          0         0         0
n284089                         7.752      1.017          0          0         0         0
n284074                         7.754      1.017          0          0         0         0
n274517                         7.649      1.004          0          0         0         0
n274540                          7.63      1.001          0          0         0         0
n274521                         7.604     0.9977          0          0         0         0
n274531                         7.612     0.9988          0          0         0         0
n284284                         7.624          1          0          0         0         0
n274539                         7.595     0.9966          0          0         0         0
n274534                         7.588     0.9956          0          0         0         0
n284200                         7.719      1.013          0          0         0         0
n284181                         7.721      1.013          0          0         0         0
n284208                         7.718      1.013          0          0         0         0
n284225                         7.716      1.013          0          0         0         0
n284250                         7.715      1.012          0          0         0         0
n284255                         7.715      1.012          0          0         0         0
n284220                         7.702      1.011          0          0         0         0
n284204                         7.706      1.011          0          0         0         0
n284232                         7.701       1.01          0          0         0         0
n284245                         7.699       1.01          0          0         0         0
n284247                         7.699       1.01          0          0         0         0
n284278                         7.699       1.01          0          0         0         0
n284251                         7.699       1.01          0          0         0         0
n284189                         20.45      1.027          0          0         0         0
n284172                         20.46      1.027          0          0         0         0
n284195                         20.45      1.026          0          0         0         0
n284214                         20.44      1.026          0          0         0         0
n284228                         20.43      1.026          0          0         0         0
n284192                         20.41      1.025          0          0         0         0
n284203                         20.42      1.025          0          0         0         0
n284168                          20.4      1.024          0          0         0         0
n284139                          20.4      1.024          0          0         0         0
n284240                         7.702      1.011          0          0         0         0
n284221                         7.702      1.011          0          0         0         0
n283642                          20.6      1.034          0          0         0         0
n283675                          20.6      1.034          0          0         0         0
n283710                          20.6      1.034          0          0         0         0
n283684                         20.59      1.034          0          0         0         0
n283716                         20.59      1.034          0          0         0         0
n283731                         20.59      1.034          0          0         0         0
n283747                         20.59      1.034          0          0         0         0
n283772                         20.59      1.034          0          0         0         0
n283702                         20.64      1.036          0          0         0         0
n283679                         20.64      1.036          0          0         0         0
n283722                         20.64      1.036          0          0         0         0
n274103                         20.64      1.036          0          0         0         0
n283753                         20.64      1.036          0          0         0         0
n283699                         20.64      1.036          0          0         0         0
n283659                         20.64      1.036          0          0         0         0
n274122                         20.56      1.032          0          0         0         0
n274137                         20.56      1.032          0          0         0         0
n274150                         20.56      1.032          0          0         0         0
n283789                         20.56      1.032          0          0         0         0
n283806                         20.56      1.032          0          0         0         0
n283810                         20.56      1.032          0          0         0         0
n283638                         20.59      1.034          0          0         0         0
n283608                         20.59      1.034          0          0         0         0
n300544                         7.691      1.009          0          0         0         0
n300562                         7.688      1.009          0          0         0         0
n292266                         20.51      1.029    0.04031     0.1966   0.02401    0.1171
n292260                         20.51      1.029    0.04031     0.1966   0.02401    0.1171
n292239                          20.5      1.029    0.04204     0.2051   0.02556    0.1247
n292234                          20.5      1.029    0.04204     0.2051   0.02556    0.1247
n292332                         20.45      1.027    0.05694     0.2785   0.03648    0.1784
n292354                         20.45      1.027    0.05694     0.2785   0.03648    0.1784
n292325                         20.44      1.026    0.05694     0.2785   0.03649    0.1785
n292349                         20.44      1.026    0.05694     0.2786   0.03651    0.1786
n292351                         20.51       1.03          0          0         0         0
n292341                         20.44      1.026    0.05694     0.2786   0.03651    0.1786
n292346                         20.43      1.026          0          0         0         0
n292333                         20.44      1.026    0.05694     0.2786   0.03651    0.1786
n292338                         20.37      1.022          0          0         0         0
n292357                         20.45      1.026    0.05883     0.2877   0.03661     0.179
n292359                         20.45      1.026    0.05883     0.2877   0.03661     0.179
n292360                         20.45      1.026    0.05883     0.2877   0.03661     0.179
n292364                         20.37      1.023          0          0         0         0
n292380                         20.44      1.026    0.05984     0.2927    0.0367    0.1795
n292396                         20.44      1.026    0.05984     0.2927    0.0367    0.1795
n292378                         20.44      1.026    0.05984     0.2927   0.03669    0.1795
n292382                         20.37      1.023          0          0         0         0
n292385                         20.37      1.023          0          0         0         0
n292473                         20.42      1.025    0.07177     0.3515   0.04361    0.2136
n292486                         20.42      1.025    0.07177     0.3515   0.04361    0.2136
n300490                         20.28      1.018          0          0         0         0
n300495                         20.28      1.018          0          0         0         0
n292367                         20.42      1.025          0          0         0         0
n292347                         20.43      1.026          0          0         0         0
n292390                         20.41      1.025          0          0         0         0
n283758                          20.4      1.024          0          0         0         0
n283740                          20.4      1.024          0          0         0         0
n283721                          20.4      1.024          0          0         0         0
n283727                         20.39      1.024          0          0         0         0
n283712                         20.38      1.023          0          0         0         0
n283744                         20.38      1.023          0          0         0         0
n292334                         20.37      1.023          0          0         0         0
n283742                         20.34      1.021          0          0         0         0
n283724                         20.34      1.021          0          0         0         0
n283751                         20.34      1.021          0          0         0         0
n283737                         20.35      1.021          0          0         0         0
n283735                         20.35      1.022          0          0         0         0
n283728                         20.34      1.021          0          0         0         0
n283718                         20.34      1.021          0          0         0         0
n283756                         20.33      1.021          0          0         0         0
n283786                         20.33      1.021          0          0         0         0
n283780                         20.33      1.021          0          0         0         0
n283784                         20.33      1.021          0          0         0         0
n292399                         20.33      1.021          0          0         0         0
n292373                         20.33      1.021          0          0         0         0
n292340                         20.33      1.021          0          0         0         0
n292415                         20.51       1.03          0          0         0         0
n292420                         20.51      1.029          0          0         0         0
n292412                         20.48      1.028          0          0         0         0
n292430                         20.48      1.028          0          0         0         0
n292438                         20.48      1.028          0          0         0         0
n292433                         20.49      1.028          0          0         0         0
n292453                         20.49      1.029          0          0         0         0
n292423                          20.5      1.029          0          0         0         0
n283796                         20.61      1.035          0          0         0         0
n292417                         20.61      1.034          0          0         0         0
n292419                         20.61      1.034          0          0         0         0
n292448                         20.42      1.025    0.06876     0.3367   0.04054    0.1985
n292446                         20.42      1.025    0.06876     0.3367   0.04054    0.1985
n292435                         20.42      1.025    0.06876     0.3367   0.04054    0.1985
n292442                         20.34      1.021          0          0         0         0
n292451                         20.34      1.021          0          0         0         0
n292468                         20.33      1.021          0          0         0         0
n292466                         20.33      1.021          0          0         0         0
n292525                         20.41      1.025    0.07522     0.3685   0.04827    0.2365
n292517                         20.41      1.025    0.07522     0.3685   0.04827    0.2365
n292461                         20.33      1.021          0          0         0         0
n292459                         20.33      1.021          0          0         0         0
n292464                         20.34      1.021          0          0         0         0
n292474                         20.34      1.021          0          0         0         0
n292490                         20.29      1.019          0          0         0         0
n292512                          20.4      1.024    0.08133     0.3988   0.05692    0.2791
n292499                         20.41      1.025    0.07522     0.3686   0.04827    0.2365
n292503                         20.41      1.025    0.07522     0.3686   0.04827    0.2365
n292528                         20.49      1.029          0          0         0         0
n292515                         20.49      1.029          0          0         0         0
n292522                         20.49      1.029          0          0         0         0
n292502                         20.48      1.028          0          0         0         0
n292498                         20.48      1.028          0          0         0         0
n292510                         20.48      1.028          0          0         0         0
n283865                         20.48      1.028          0          0         0         0
n283861                         20.48      1.028          0          0         0         0
n283869                         20.47      1.028          0          0         0         0
n283858                         20.47      1.028          0          0         0         0
n283853                         20.47      1.028          0          0         0         0
n283847                         20.47      1.028          0          0         0         0
n283841                         20.47      1.028          0          0         0         0
n283838                         20.47      1.028          0          0         0         0
n292428                         20.46      1.027          0          0         0         0
n283816                         20.47      1.027          0          0         0         0
n292425                         20.46      1.027          0          0         0         0
n292449                         20.46      1.027          0          0         0         0
n300568                         20.28      1.018          0          0         0         0
n300563                         20.28      1.018          0          0         0         0
n300573                         20.28      1.018          0          0         0         0
n300586                         20.28      1.018          0          0         0         0
n300580                         20.28      1.018          0          0         0         0
n300604                         20.28      1.018          0          0         0         0
n300681                         20.27      1.018          0          0         0         0
n300661                         20.27      1.018          0          0         0         0
n300636                         20.27      1.018          0          0         0         0
n300633                         20.27      1.018          0          0         0         0
n300721                         20.46      1.027          0          0         0         0
n300737                         20.46      1.027          0          0         0         0
n300746                         20.46      1.027          0          0         0         0
n300744                         20.46      1.027          0          0         0         0
n300726                         20.46      1.027          0          0         0         0
n300767                         20.46      1.027          0          0         0         0
n300670                         20.46      1.027          0          0         0         0
n300620                         20.45      1.027          0          0         0         0
n284275                         7.686      1.009          0          0         0         0
n284257                         7.686      1.009          0          0         0         0
n284212                         7.666      1.006          0          0         0         0
n284206                         7.666      1.006          0          0         0         0
n284194                         7.667      1.006          0          0         0         0
n284211                          7.67      1.006          0          0         0         0
n284223                         7.671      1.007          0          0         0         0
n284253                         7.675      1.007          0          0         0         0
n284063                         7.752      1.017          0          0         0         0
n284057                          7.75      1.017          0          0         0         0
n284006                         7.744      1.016          0          0         0         0
n283989                         7.742      1.016          0          0         0         0
n283955                         7.736      1.015          0          0         0         0
n283953                         7.738      1.015          0          0         0         0
n283927                         7.732      1.015          0          0         0         0
n274231                         7.711      1.012          0          0         0         0
n274237                         7.714      1.012          0          0         0         0
n283941                         7.717      1.013          0          0         0         0
n283965                         7.721      1.013          0          0         0         0
n284008                         7.725      1.014          0          0         0         0
n284028                         7.727      1.014          0          0         0         0
n274224                          7.71      1.012          0          0         0         0
n274214                         7.709      1.012          0          0         0         0
n274200                         7.708      1.011          0          0         0         0
n274207                         7.707      1.011          0          0         0         0
n274227                         7.706      1.011          0          0         0         0
n274220                         7.706      1.011          0          0         0         0
n274196                         7.705      1.011          0          0         0         0
n274183                         7.716      1.012          0          0         0         0
n274191                         7.716      1.012          0          0         0         0
n274192                         7.717      1.013          0          0         0         0
n283873                         7.719      1.013          0          0         0         0
n284003                          7.74      1.016          0          0         0         0
n284001                         7.739      1.016          0          0         0         0
n284005                          7.74      1.016          0          0         0         0
n283971                         7.736      1.015          0          0         0         0
n283961                         7.734      1.015          0          0         0         0
n283948                         7.728      1.014          0          0         0         0
n283921                         7.722      1.013          0          0         0         0
n283943                         7.725      1.014          0          0         0         0
n283909                          7.72      1.013          0          0         0         0
n283924                         7.718      1.013          0          0         0         0
n283892                         7.717      1.013          0          0         0         0
n283917                         7.718      1.013          0          0         0         0
n283914                         7.759      1.018          0          0         0         0
n283902                         7.758      1.018          0          0         0         0
n283935                          7.76      1.018          0          0         0         0
n283949                         7.761      1.018          0          0         0         0
n283967                         7.762      1.019          0          0         0         0
n284024                         7.767      1.019          0          0         0         0
n284023                         7.775       1.02          0          0         0         0
n283986                          7.77       1.02          0          0         0         0
n284012                         7.768      1.019          0          0         0         0
n284043                          7.78      1.021          0          0         0         0
n283888                         7.758      1.018          0          0         0         0
n283893                         7.758      1.018          0          0         0         0
n283651                         7.857      1.031          0          0         0         0
n283636                         7.856      1.031          0          0         0         0
n283582                         7.854      1.031          0          0         0         0
n283612                         7.855      1.031          0          0         0         0
n283544                         7.853       1.03          0          0         0         0
n283665                         7.859      1.031          0          0         0         0
n283558                         7.793      1.023          0          0         0         0
n283585                         7.801      1.024          0          0         0         0
n283556                         7.788      1.022          0          0         0         0
n283577                         7.782      1.021          0          0         0         0
n283594                         7.778      1.021          0          0         0         0
n283598                         7.775       1.02          0          0         0         0
n284046                         20.29      1.019          0          0         0         0
n284065                         20.29      1.018          0          0         0         0
n284060                         7.752      1.017          0          0         0         0
n284045                         7.749      1.017          0          0         0         0
n284049                         7.758      1.018          0          0         0         0
n284055                         7.759      1.018          0          0         0         0
n1385522                        7.861      1.031          0          0         0         0
n292742                         7.534     0.9886          0          0         0         0
n292368                         20.44      1.026    0.06142     0.3005   0.03694    0.1807
n292365                         20.44      1.026    0.06142     0.3005   0.03694    0.1807
